# a b c
9.14 3.50 4.40
0.90 3.03 8.66
3.72 6.59 3.96
5.22 6.55 9.20
5.20 9.26 8.29
1.22 8.66 9.55
0.17 8.90 5.78
1.70 2.18 9.15
0.46 2.15 7.17
9.62 7.58 5.24
1.22 5.86 7.47
2.27 4.74 1.52
1.09 5.29 2.79
8.24 2.90 9.84
4.47 1.11 3.19
6.16 9.40 2.25
7.54 8.24 2.16
6.57 4.86 6.69
0.90 0.31 7.55
3.19 3.92 1.51
5.96 6.41 8.30
6.83 5.81 0.87
7.05 2.95 9.60
1.15 2.07 6.48
5.17 2.74 2.69
3.06 4.70 3.83
1.74 0.14 2.86
7.49 9.21 6.88
0.12 5.57 9.76
6.84 2.80 1.73
4.70 2.73 7.25
1.52 4.59 9.52
1.84 6.36 8.02
9.66 1.61 7.06
8.42 2.94 3.16
7.76 2.80 9.70
5.41 9.71 1.64
6.52 9.17 6.68
6.95 5.30 9.32
4.49 7.01 2.82
2.28 4.75 6.70
6.26 3.44 7.65
3.88 9.12 6.55
2.59 2.57 5.92
9.82 5.53 2.44
6.45 0.54 4.49
2.02 9.97 2.57
4.02 7.35 0.39
1.64 2.41 0.53
8.27 5.69 2.73
2.89 6.99 6.49
2.54 8.82 5.79
9.86 0.58 2.91
6.94 5.90 5.50
5.13 6.15 6.94
6.93 2.26 2.14
3.73 3.14 5.66
9.17 4.25 9.71
0.16 7.53 1.76
4.10 6.39 2.32
7.15 3.68 4.85
1.72 6.69 5.45
9.41 1.33 6.15
5.76 7.91 4.80
9.03 2.21 6.24
8.24 7.15 5.71
1.71 1.30 5.16
7.44 4.81 3.10
2.98 8.03 4.25
3.94 1.83 0.36
8.35 6.98 8.09
8.56 3.44 0.04
1.23 4.04 3.04
8.28 5.05 7.40
4.29 5.51 2.84
4.91 7.33 5.09
3.68 9.42 8.39
9.17 8.13 2.49
6.74 9.36 7.48
1.90 3.10 1.92
8.99 3.94 6.04
8.40 7.20 5.45
2.33 7.27 0.75
3.21 7.92 2.39
9.39 0.60 8.02
7.52 1.26 6.11
0.95 1.90 7.33
2.27 0.72 4.56
4.34 1.97 9.08
3.39 3.07 6.41
1.55 0.54 9.70
5.67 6.03 9.25
9.41 4.60 1.05
5.31 3.97 2.22
9.84 4.56 6.28
6.54 8.62 6.13
9.23 8.82 3.10
0.40 5.66 0.61
1.56 1.45 1.41
3.40 0.20 5.81
9.43 6.11 7.31
5.88 4.76 3.47
0.51 6.58 3.90
8.98 7.96 9.77
0.37 6.12 6.42
4.33 3.36 3.37
1.98 4.07 6.94
3.97 5.14 1.23
2.52 7.91 1.90
1.97 5.84 9.98
8.00 6.00 3.65
1.79 0.90 5.98
4.63 6.84 9.15
0.57 1.66 5.55
6.76 0.58 8.15
5.14 7.97 8.32
0.68 1.98 1.96
9.08 5.15 1.09
0.39 7.73 8.33
1.56 8.43 4.62
4.82 2.25 5.95
9.08 6.13 8.02
9.57 4.57 5.79
6.34 2.26 3.29
7.15 8.73 3.32
2.90 9.53 4.02
3.14 9.66 8.28
4.73 7.73 1.71
1.21 5.64 4.13
9.25 4.66 8.29
3.39 8.32 2.07
0.78 5.32 0.27
1.53 9.55 8.42
6.94 8.87 4.14
4.45 3.58 9.47
5.97 0.35 0.41
7.89 8.12 3.73
4.51 9.74 3.00
4.34 1.32 2.84
2.78 2.80 7.47
0.53 7.51 1.86
2.05 3.79 0.63
4.93 6.89 6.42
0.12 0.99 5.30
3.87 0.71 2.21
1.92 3.00 5.40
2.82 4.74 6.76
7.72 5.43 7.55
5.23 5.37 2.08
9.62 3.54 1.67
2.40 5.99 5.04
2.81 4.58 9.35
0.59 5.25 1.60
6.00 9.48 0.13
1.04 2.71 4.82
9.58 5.31 6.94
3.44 5.76 1.30
0.66 9.28 8.38
2.26 3.13 0.05
6.53 2.69 9.56
0.28 9.67 7.47
9.13 4.13 4.57
7.72 3.52 3.02
9.81 5.78 9.51
2.24 0.65 4.58
7.31 1.74 1.95
0.03 2.10 5.14
9.91 0.12 8.65
1.06 8.26 7.16
5.63 9.58 9.16
0.51 5.83 5.53
5.89 9.20 5.26
7.24 8.12 2.33
7.25 8.83 8.45
